"Basket_Size","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase","Label"
"34","F","0-17","10","A","2","0","(1.39e+03,1.05e+05]","2"
"76","M","55+","16","C","4+","0","(1.39e+03,1.05e+05]","2"
"29","M","26-35","15","A","3","0","(1.39e+03,1.05e+05]","2"
"13","M","46-50","7","B","2","1","(1.39e+03,1.05e+05]","1"
"106","M","26-35","20","A","1","1","(1.39e+03,1.05e+05]","2"
"46","F","51-55","9","A","1","0","(1.39e+03,1.05e+05]","2"
"16","M","36-45","1","B","1","1","(1.39e+03,1.05e+05]","1"
"76","M","26-35","12","C","4+","1","(1.39e+03,1.05e+05]","2"
"57","M","26-35","17","C","0","0","(1.39e+03,1.05e+05]","2"
"222","F","36-45","1","B","4+","1","(1.39e+03,1.05e+05]","3"
"69","F","26-35","1","C","1","0","(1.39e+03,1.05e+05]","2"
"11","M","26-35","12","C","2","0","(1.18e+03,1.28e+03]","1"
"60","M","46-50","1","C","3","1","(1.39e+03,1.05e+05]","2"
"13","M","36-45","0","C","0","0","(1.18e+03,1.28e+03]","1"
"116","M","26-35","7","A","1","0","(1.39e+03,1.05e+05]","2"
"21","F","36-45","0","C","0","1","(1.39e+03,1.05e+05]","1"
"114","M","51-55","1","C","0","0","(1.39e+03,1.05e+05]","2"
"179","F","18-25","3","B","3","0","(1.39e+03,1.05e+05]","3"
"144","M","0-17","10","A","3","0","(1.39e+03,1.05e+05]","2"
"12","M","26-35","14","A","0","0","(1.39e+03,1.05e+05]","1"
"13","M","18-25","16","B","0","0","(1.18e+03,1.28e+03]","1"
"155","M","18-25","15","A","4+","0","(1.39e+03,1.05e+05]","2"
"171","M","36-45","0","B","3","1","(1.39e+03,1.05e+05]","3"
"76","F","26-35","7","A","3","1","(1.39e+03,1.05e+05]","2"
"43","M","18-25","4","C","4+","0","(1.39e+03,1.05e+05]","2"
"226","M","26-35","7","B","2","1","(1.39e+03,1.05e+05]","3"
"41","M","26-35","11","C","1","1","(1.39e+03,1.05e+05]","2"
"57","F","26-35","1","C","2","1","(1.39e+03,1.05e+05]","2"
"52","M","36-45","7","C","1","0","(1.39e+03,1.05e+05]","2"
"30","F","36-45","7","C","3","0","(1.39e+03,1.05e+05]","1"
"64","M","55+","7","C","2","0","(1.39e+03,1.05e+05]","2"
"23","F","26-35","0","C","3","1","(1.39e+03,1.05e+05]","1"
"215","M","46-50","3","A","1","1","(1.39e+03,1.05e+05]","3"
"99","F","18-25","0","A","0","0","(1.39e+03,1.05e+05]","2"
"111","M","46-50","1","C","4+","1","(1.39e+03,1.05e+05]","2"
"199","M","26-35","3","B","0","0","(1.39e+03,1.05e+05]","3"
"30","F","26-35","9","C","1","0","(1.39e+03,1.05e+05]","1"
"40","M","18-25","4","B","2","0","(1.39e+03,1.05e+05]","2"
"15","F","18-25","4","C","3","0","(1.39e+03,1.05e+05]","1"
"124","M","26-35","8","C","0","1","(1.39e+03,1.05e+05]","2"
"13","M","26-35","12","A","0","0","(1.28e+03,1.39e+03]","1"
"120","M","46-50","17","B","3","1","(1.39e+03,1.05e+05]","2"
"162","F","46-50","16","A","1","1","(1.39e+03,1.05e+05]","2"
"20","M","18-25","19","C","4+","0","(1.28e+03,1.39e+03]","1"
"14","M","18-25","4","C","4+","1","(1.28e+03,1.39e+03]","1"
"337","M","26-35","4","B","3","1","(1.39e+03,1.05e+05]","3"
"59","M","18-25","12","C","4+","1","(1.39e+03,1.05e+05]","2"
"24","F","26-35","2","A","1","1","(1.39e+03,1.05e+05]","1"
"25","F","0-17","10","C","2","0","(1.39e+03,1.05e+05]","1"
"42","M","18-25","4","C","0","0","(1.39e+03,1.05e+05]","2"
"377","M","26-35","0","B","1","0","(1.39e+03,1.05e+05]","3"
"23","M","51-55","1","C","4+","1","(1.39e+03,1.05e+05]","1"
"13","F","36-45","12","B","1","0","(1.28e+03,1.39e+03]","1"
"37","M","36-45","20","C","0","1","(1.39e+03,1.05e+05]","2"
"42","M","18-25","19","C","2","0","(1.39e+03,1.05e+05]","2"
"260","M","26-35","2","B","3","0","(1.39e+03,1.05e+05]","3"
"127","F","51-55","1","B","4+","1","(1.39e+03,1.05e+05]","2"
"35","M","51-55","1","C","1","1","(1.39e+03,1.05e+05]","1"
"19","M","26-35","17","C","1","0","(1.39e+03,1.05e+05]","1"
"281","F","36-45","3","A","1","0","(1.39e+03,1.05e+05]","3"
"63","M","18-25","4","C","2","0","(1.39e+03,1.05e+05]","2"
"15","M","18-25","1","A","1","1","(1.39e+03,1.05e+05]","1"
"66","M","36-45","12","C","2","1","(1.39e+03,1.05e+05]","2"
"20","M","26-35","18","C","2","0","(1.39e+03,1.05e+05]","1"
"36","F","51-55","5","C","4+","1","(1.39e+03,1.05e+05]","2"
"42","M","18-25","4","A","0","0","(1.39e+03,1.05e+05]","2"
"35","F","26-35","1","A","1","0","(1.39e+03,1.05e+05]","2"
"25","M","18-25","4","A","2","0","(1.39e+03,1.05e+05]","1"
"16","M","26-35","14","A","0","1","(1.39e+03,1.05e+05]","1"
"26","F","46-50","0","B","1","1","(1.39e+03,1.05e+05]","1"
"133","M","18-25","4","A","4+","0","(1.39e+03,1.05e+05]","2"
"28","M","36-45","14","A","2","1","(1.39e+03,1.05e+05]","2"
"110","F","0-17","10","C","4+","0","(1.39e+03,1.05e+05]","2"
"51","M","36-45","7","B","2","1","(1.39e+03,1.05e+05]","2"
"21","M","18-25","4","C","2","0","(1.39e+03,1.05e+05]","1"
"85","F","46-50","1","C","0","1","(1.39e+03,1.05e+05]","2"
"16","F","46-50","0","A","1","0","(1.18e+03,1.28e+03]","1"
"31","M","55+","1","C","3","1","(1.39e+03,1.05e+05]","2"
"51","F","26-35","0","A","1","1","(1.39e+03,1.05e+05]","2"
"59","M","26-35","17","C","2","1","(1.39e+03,1.05e+05]","2"
"52","F","26-35","2","C","1","0","(1.39e+03,1.05e+05]","2"
"22","M","18-25","4","C","1","0","(1.39e+03,1.05e+05]","1"
"19","M","18-25","4","C","1","0","(1.39e+03,1.05e+05]","1"
"23","F","0-17","10","C","3","0","(1.39e+03,1.05e+05]","1"
"37","M","26-35","14","C","2","0","(1.39e+03,1.05e+05]","2"
"33","F","46-50","1","C","1","1","(1.39e+03,1.05e+05]","2"
"13","F","55+","9","C","1","1","(1.07e+03,1.18e+03]","1"
"137","M","55+","13","C","1","0","(1.39e+03,1.05e+05]","2"
"23","M","36-45","7","C","3","1","(1.39e+03,1.05e+05]","1"
"223","F","18-25","4","B","1","0","(1.39e+03,1.05e+05]","3"
"114","M","26-35","17","B","1","1","(1.39e+03,1.05e+05]","2"
"7","M","26-35","17","C","1","0","(441,546]","1"
"55","M","46-50","0","C","4+","1","(1.39e+03,1.05e+05]","2"
"43","F","26-35","16","C","2","1","(1.39e+03,1.05e+05]","2"
"82","F","36-45","3","C","3","0","(1.39e+03,1.05e+05]","2"
"13","F","36-45","7","C","2","1","(1.39e+03,1.05e+05]","1"
"64","F","0-17","10","C","1","0","(1.39e+03,1.05e+05]","2"
"41","M","36-45","17","C","4+","0","(1.39e+03,1.05e+05]","2"
"65","F","18-25","3","A","1","0","(1.39e+03,1.05e+05]","2"
"86","M","36-45","19","C","3","0","(1.39e+03,1.05e+05]","2"
"65","M","46-50","7","B","2","1","(1.39e+03,1.05e+05]","2"
"28","M","26-35","12","C","3","1","(1.39e+03,1.05e+05]","1"
"40","M","46-50","12","C","1","1","(1.39e+03,1.05e+05]","2"
"30","F","36-45","11","C","4+","0","(1.39e+03,1.05e+05]","1"
"64","M","46-50","18","C","4+","0","(1.39e+03,1.05e+05]","2"
"14","M","26-35","12","C","3","0","(1.18e+03,1.28e+03]","1"
"43","M","46-50","15","C","1","1","(1.39e+03,1.05e+05]","2"
"40","M","26-35","2","B","4+","0","(1.39e+03,1.05e+05]","2"
"54","M","36-45","15","C","3","0","(1.39e+03,1.05e+05]","2"
"29","M","26-35","16","C","3","1","(1.39e+03,1.05e+05]","2"
"35","M","18-25","12","C","2","0","(1.39e+03,1.05e+05]","2"
"51","F","26-35","2","C","0","0","(1.39e+03,1.05e+05]","2"
"55","M","26-35","17","C","2","1","(1.39e+03,1.05e+05]","2"
"282","M","26-35","17","A","2","1","(1.39e+03,1.05e+05]","3"
"118","M","36-45","17","C","4+","0","(1.39e+03,1.05e+05]","2"
"56","F","0-17","10","C","1","0","(1.39e+03,1.05e+05]","2"
